query_id,answer
1,4396 2943 3088 2196 1901 3265 1846 2511 1909 4387
2,3209 4407 4408 4361 2408 4400 4009 2943 4234 1923
3,4396 4308 4362 4408 4234 2964 4400 4045 4286 4331
4,2646 4400 4532 4403 4234 2865 4331 2866 4361 4407
5,4320 4214 3128 4153 4045 4321 4050 4388 3467 4396
6,4309 3750 2214 4520 3016 4208 3735 4324 4254 4523
7,4403 2944 2521 4407 3168 4400 2831 4234 3689 2802
8,1951 4532 4234 3467 4214 2646 4045 4320 4308 4050
9,4451 4445 4447 4534 4227 3314 4214 4290 3995 3478
10,4407 4219 4403 2831 4408 4400 2646 2865 1966 2521
11,4219 2865 1966 4400 2831 2696 4408 4403 2866 2646
12,4400 2865 2831 4219 1958 2964 4361 4408 4407 4234
13,4219 2865 4407 3567 2646 2521 4361 4389 3689 3078
14,2962 4397 3595 4227 2968 2663 4290 4435 4356 4287
15,4361 3470 1966 4406 3169 4219 2943 4313 2037 4331
16,4440 2646 4389 4407 4361 4219 4331 2943 2521 3149
17,2646 3088 4532 1899 2944 4045 4361 4331 3168 2943
18,4219 4234 4308 4396 4408 2646 4361 4400 4362 4153
19,4214 4320 4321 3467 2646 4234 2698 4362 4433 4361
20,2865 4400 2646 2831 4407 4219 2944 4234 2521 4532
21,4214 2698 4395 4366 2665 2646 4050 4424 4361 4532
22,4445 4341 4237 3909 2148 2208 4247 4236 4335 3862
23,4286 4437 4366 4396 4355 4045 4362 3436 4328 1907
24,4389 4440 2646 4361 2521 2943 4407 4219 4394 2944
25,4214 4451 2665 2698 4366 2213 3774 4445 4395 4361
26,4440 4394 4389 4361 4406 3168 2646 2943 4219 2865
27,4219 1966 4387 2646 2865 4407 1958 4389 3567 3470
28,4403 4407 4400 2408 3209 1918 4219 4234 2831 2962
29,4219 2865 1966 2646 2944 4406 4361 2521 2866 3844
30,2646 4320 1951 4361 4234 4331 3467 4214 4285 4366
31,4308 1960 4400 4234 1909 4408 2831 4358 2962 4403
32,4397 2962 4440 4391 4265 4294 4258 4389 3661 2668
33,4407 2944 2646 2865 2521 4219 1966 2696 4400 1958
34,2865 4219 2646 2521 4361 2944 1966 4234 4406 4400
35,4396 1907 4328 1909 4286 3436 4045 4234 1901 4362
36,4219 4387 2646 1958 2865 4504 1966 4400 3567 4532
37,4400 4387 4219 4403 4408 1966 2865 2831 1958 4407
38,4219 1966 4440 3470 4400 2696 3078 4408 4389 2894
39,1951 3467 4234 4218 4050 4361 4214 4045 4153 2964
40,4331 2646 4219 4361 4308 4233 4234 4214 4440 4384
41,4362 4234 4050 4045 2698 4361 4153 3467 4214 4426
42,4400 1966 2646 4219 4408 4331 4387 3088 1958 4234
43,4362 4234 1901 4396 4308 1899 1909 4045 3265 4219
44,2865 4219 1966 3567 4406 3844 4361 2646 2696 2521
45,2865 4219 2646 2944 4400 1966 4234 2521 2831 4403
46,2665 4214 4361 2698 2511 4331 4358 4398 3553 2646
47,4331 4234 3470 1966 4406 4361 2646 4362 4219 2943
48,4219 4387 1966 2646 4407 3470 2865 1958 4509 3567
49,4408 1960 4358 2831 4012 4083 1899 4308 2964 4234
50,3467 1951 4218 4286 4234 4214 4328 4050 1899 4308
51,4395 4424 3026 4389 4404 4407 4219 2521 2646 4214
52,4395 4424 4214 2646 2698 4447 4361 4219 3995 4198
53,2511 4408 4358 4361 4331 2943 4219 2646 4308 4407
54,4424 4395 3478 4366 4214 3992 4521 4209 2698 4361
55,3467 1951 4532 4320 4214 4387 4153 2646 2802 2944
56,4045 4400 4403 3088 4153 4308 4050 2831 4407 4408
57,2920 3054 3688 4367 2937 2904 3679 1746 3746 2324
58,2646 4361 4440 4219 4285 4308 4384 3564 4389 4516
59,2865 4219 2646 2521 2944 1966 4234 1958 2866 4400
60,4407 4219 4400 2831 4408 4403 2646 2944 2521 2865
61,4440 2646 4389 4219 4361 4396 2943 4308 4331 4234
62,4219 4400 2865 2646 4234 2964 1966 1958 2831 4408
63,2831 4332 4408 4403 4400 4387 4219 4407 2238 2944
64,1907 1909 4234 4328 2462 4308 4362 1918 1899 4334
65,4008 2663 2217 2942 2695 3128 4375 2948 2968 3643
66,4266 3481 4269 3482 2968 4276 2663 2415 3779 4287
67,4440 4313 3470 4326 4261 3078 4221 4223 4277 4295
68,2663 4287 3595 2661 4008 2968 2217 2942 2207 2203
69,4219 2646 1966 2865 2831 4400 4234 4331 4408 4361
70,4328 4286 4396 4362 4234 3467 3265 1907 1909 4045
71,3265 4362 2646 4234 3467 4219 4308 4205 4331 2665
72,4234 4362 2698 3467 4214 4153 4050 4361 4045 4308
73,4440 2663 2968 2894 2220 3481 3482 3993 4389 4316
74,2865 4219 1966 4400 2646 2831 4403 4234 2944 2521
75,4331 2646 4361 4440 4219 1966 2943 4234 4308 4010
76,1901 4362 3265 4396 3088 4045 4407 2196 4435 4234
77,1909 4362 3088 4400 4396 1918 1960 4387 2511 4408
78,4362 3265 4045 1909 4153 2196 4234 4435 4308 4433
79,2865 4219 2646 1966 2944 2521 4406 4400 4361 4234
80,2902 4320 4321 2232 4436 4319 3861 2918 4251 4437
81,4219 2865 1966 4408 2866 2831 4400 2696 3470 4361
82,4400 2964 4408 4308 2831 4234 4403 4219 4358 4396
83,4234 4361 3467 1951 4362 4045 4396 4153 4532 4050
84,4400 4407 4362 4219 3006 2831 2196 4403 3209 4361
85,2962 4227 4397 4290 2646 4219 2924 4407 4320 2902
86,4234 1951 4320 4045 3090 3467 4361 4214 4321 2698
87,4361 4331 2646 1966 4234 4308 4219 4406 2943 4322
88,1951 3467 4234 4218 4286 4361 4308 4214 4045 4320
89,3467 4320 1951 4234 4328 4286 4050 4532 1907 4396
90,2865 1966 4219 2696 2646 3470 4400 3567 4406 2866
91,1901 2943 3265 4396 3088 2665 2802 4362 4205 4387
92,4362 2964 4218 4361 2698 4214 4153 4204 4045 4050
93,4387 4219 4400 4532 2696 4407 2646 1958 4504 4408
94,2062 3260 4411 4110 2061 2060 4404 3147 2064 3261
95,4396 4320 4328 4532 2902 4321 4286 4361 2646 1907
96,4407 4403 2831 1958 4400 2944 4408 4302 2865 2521
97,4403 4407 4400 2831 3209 2408 4408 4234 4219 2646
98,4234 1951 4320 2964 4045 3467 4050 4153 3265 4218
99,4219 4361 4331 4400 4408 1966 4234 2646 4389 4440
100,4396 4328 3436 4286 3467 4234 4045 4218 4050 4153
101,2865 4219 1966 2521 4400 2944 2831 2646 4407 4331
102,4451 3995 4447 4214 3150 4383 4445 4209 4220 4263
103,4219 2646 2943 4361 4394 4331 3149 4205 4396 4408
104,4407 2865 4219 2646 2944 2521 1966 4400 4387 2831
105,2646 4219 4440 3077 3078 4384 4313 4361 4308 4331
106,4219 2646 4361 4308 4322 4331 4234 4406 4408 3149
107,1909 1918 4286 4328 4308 1907 4396 3419 4234 2944
108,2646 4308 4361 4331 4219 4408 2943 2962 3088 4234
109,4361 2646 4331 1966 4234 4219 4308 4406 4010 2943
110,4219 4308 4408 4234 3564 4361 2646 2962 2408 4136
111,2646 4308 4219 4361 4331 4233 4285 4234 3127 2962
112,4219 4407 4302 2865 2696 2203 2831 2521 2060 2646
113,4050 4446 4045 4153 4320 3265 4234 2196 4362 4133
114,3026 4389 4219 4395 2696 4424 3078 4440 4302 4205
115,4454 4395 4424 1842 4447 4523 4329 4351 4236 2293
116,4219 2943 2646 4234 4361 4308 4396 4205 3149 3088
117,1909 4396 4286 1899 1901 2244 2248 2198 4308 1918
118,4440 4389 4361 2646 3565 4384 4394 3078 4219 3077
119,2646 4384 3077 4219 4313 4361 4308 4214 4440 3078
120,4361 2943 4219 2646 4406 1966 3470 4440 3689 3169
121,4440 4389 3078 4219 4313 1966 3470 4361 3077 4331
122,4451 4366 3478 4214 4534 4220 4447 3314 3774 2213
123,4219 4361 2646 3149 2865 4205 4234 2521 4400 1958
124,1909 4408 4400 1918 4387 2408 4362 4403 1954 2511
125,4440 4389 2521 4219 2943 2944 4361 4407 2802 3843
126,4045 4396 4328 4153 4286 4408 4050 4433 4234 4308
127,3470 4219 4361 1966 3078 2943 4384 2646 4313 1827
